Field,,,
*,,,8
LDR,,,
,00-04,,
,05*,,
,,a,
,,c,
,,d,
,,n,
,,p,
,06*,,
,,b,
,,h,
,,n,
,07*,,
,,a,
,,b,
,,d,
,,m,
,08*,,
,,#,
,,a,
,09*,,
,,#,
,,a,
,10,,
,11,,
,12-16,,
,17,,
,,#,
,,1,
,,2,
,,3,
,,4,
,,5,
,,7,
,,8,
,,u,
,,z,
,18,,
,,#,
,,a,
,,c,
,,i,
,,n,
,,p,
,,r,
,,u,
,19,,
,,#,
,,a,
,,b,
,,c,
,,r,
,20-23,,
DIR,,,
,00-02,,
,03-06,,
,07-11,,
887,,,
885,,,
884,,,
882,,,
878,,,
877,,,
876,,,
873,,,
872,,,
871,,,
870,,,
868,,,
867,,,
866,,,
865,,,
864,,,
863,,,
855,,,
854,,,
853,,,
852,,,
851,,,
850,,,
845,,,
844,,,
842,,,
841,,,
840,,,
787,,,
,0,,
,,#,
,,,i
,,,4
,,,7
,,8,
,,,i
,,,4
,,,7
,1,,
,,#,
,,,i
,,,4
,,,7
,,8,
,,,i
,,,4
,,,7
,,,
786,,,
,0,,
,,#,
,,,i
,,,4
,,,7
,,8,
,,,i
,,,4
,,,7
,1,,
,,#,
,,,i
,,,4
,,,7
,,8,
,,,i
,,,4
,,,7
785,,,
,0,0,
,,,i
,,,4
,,,5
,1,0,
,,,i
,,,4
,,,5
780,,,
,0,0,
,,,i
,,,4
,,,7
,1,0,
,,,i
,,,4
,,,7
777,,,
,0,#,
,,,i
,,,4
,,,7
,0,8,
,,,i
,,,4
,,,7
,1,#,
,,,i
,,,4
,,,7
,1,8,
,,,i
,,,4
,,,7
776,,,
,0,#,
,,,i
,,,4
,,,7
,0,8,
,,,i
,,,4
,,,7
,1,#,
,,,i
,,,4
,,,7
,1,8,
,,,i
,,,4
,,,7
775,,,
,0,#,
,,,i
,,,4
,,,7
,0,8,
,,,i
,,,4
,,,7
,1,#,
,,,i
,,,4
,,,7
,1,8,
,,,i
,,,4
,,,7
774,,,
,0,#,
,,,i
,,,4
,,,7
,0,8,
,,,i
,,,4
,,,7
,1,#,
,,,i
,,,4
,,,7
,1,8,
,,,i
,,,4
,,,7
772,,,
,0,#,
,,,i
,,,4
,,,7
,0,0,
,,,i
,,,4
,,,7
,0,8,
,,,i
,,,4
,,,7
,1,#,
,,,i
,,,4
,,,7
,1,0,
,,,i
,,,4
,,,7
,1,8,
,,,i
,,,4
,,,7
767,,,
,0,#,
,,,4
,,,7
,,,i
,0,8,
,,,4
,,,7
,,,i
,1,#,
,,,4
,,,7
,,,i
,1,8,
,,,4
,,,7
,,,i
765,,,
,0,#,
,,,4
,,,7
,,,i
,0,8,
,,,4
,,,7
,,,i
,1,#,
,,,4
,,,7
,,,i
,1,8,
,,,4
,,,7
,,,i
762,,,
,0,#,
,,,4
,,,7
,,,i
,0,8,
,,,4
,,,7
,,,i
,1,#,
,,,4
,,,7
,,,i
,1,8,
,,,4
,,,7
,,,i
760,,,
,0,#,
,,,4
,,,7
,,,i
,0,8,
,,,4
,,,7
,,,i
,1,#,
,,,4
,,,7
,,,i
,1,8,
,,,4
,,,7
,,,i
755,,,
754,,,
,#,#,
,,,c
,,,0
,,,1
,,,2
751,,,
,*,*,
,,,3
753,,,
,#,#,
,,,0
740,*,*,
,,,h
730,,,
,*,*,
,,,i
,,,3
,,,4
715,,,
705,,,
653,,,
,*,*,
,,,0
,,,1
652,,,
650,,,
,*,*,
,,,e
,,,4
648,,,
,*,*,
,,,e
,,,4
,,,
647,,,
,*,*,
,,,e
,,,4
611,,,
,*,*,
,,,h
,,,j
,,,4
610,,,
,*,*,
,,,h
,,,e
,,,4
600,,,
,*,*,
,,,h
,,,e
,,,4
590,,,
582,,,
580,,,
,*,*,
,,,z
567,,,
,*,*,
,,,0
,,,1
562,,,
561,,,
,*,*,
,,,b
550,,,
,*,*,
,,,z
547,,,
,*,*,
,,,z
547,,,
,*,*,
,,,z
543,,,
537,,,
533,,,
,*,*,
,,,y
,,,5
517,,,
381,,,
377,,,
359,,,
351,,,
315,,,
308,,,
305,,,
304,,,
303,,,
302,,,
301,,,
265,,,
241,,,
214,,,
212,,,
211,,,
91,,,
90,,,
85,,,
83,,,
,*,,
,,,b
,,,c
,,,m
,,,q
,,,y
,,,z
,,,0
,,,1
,,,2
82,,,
,*,,
,,,b
,,,c
,,,m
,,,q
,,,y
,,,z
,,,0
,,,1
,,,2
80,,,
,*,,
,,,b
,,,0
,,,1
,,,2
70,,,
,*,,
,,,b
,,,0
,,,1
66,,,
60,,,
,*,,
,,,b
,,,0
,,,1
55,,,
,*,,
,,,b
,,,0
,,,1
52,,,
,*,*,
,,,c
,,,0
,,,1
51,,,
,*,0,
,,1,
,,2,
,,3,
,*,*,
,,,b
,,,c
50,,,
,*,*,
,,,b
,,,0
,,,1
,,,3
,,,6
,,,8
44,,,
42,,,
38,,,
37,,,
36,,,
35,,,
,*,*,
,,,6
34,,,
,*,*,
,,,0
,,,1
,,,2
,,,3
33,,,
,*,2,
,,,a
,*,*,
,,,1
,,,3
30,,,
,*,*,
,,,6
28,,,
,*,*,
,,,6
27,,,
,*,*,
,,,6
26,,,
,*,*,
,,,6
25,,,
24,,,
,*,*,
,,,6
20,,,
,*,*,
,,,6
18,,,
,*,*,
,,,6
17,,,
,*,*,
,,,6
15,,,
,*,*,
,,,6
11,,,
1,,,
3,,,
5,,,
6,Undefined or obsolete character positions,,
7,Undefined or obsolete character positions or values such as unknown/other.,,
8,,,
,38,,
,39,,
,Undefined or obsolete character positions or values such as unknown/other. Values indicating what a resource is not.,,
,continuing resources,34,
,00-05,,
,6,,
