,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CategoryOfMaterial,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,BOOKS,00,Form of material,,,a,Language material,,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,https://doi.org/10.6069/uwlswd.25z4-e963#a - CP 2024-09-26,,see also 008/18-34
1,done,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,BOOKS,00,Form of material,,,t,Manuscript language material,,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,https://doi.org/10.6069/uwlswd.25z4-e963#t - CP  2024-09-26,,see also 008/18-34
2,done,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,BOOKS,01-04,Illustrations,,,*,,006 00,a,,,http://rdaregistry.info/Elements/m/P30453,has illustrative content,structured/IRI,,follow mapping for BOOKS 008/18-21 - CP 2024-09-26 ,,see also 008/18-21
3,done,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,BOOKS,01-04,Illustrations,,,*,,006 00,t,,,http://rdaregistry.info/Elements/m/P30453,has illustrative content,structured/IRI,,follow mapping for BOOKS 008/18-21 - CP 2024-09-26 ,,see also 008/18-21
4,done,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,BOOKS,06,Form of item,,,*,,006 00,a,,,"http://rdaregistry.info/Elements/m/P30001
http://rdaregistry.info/Elements/m/P30199
http://rdaregistry.info/Elements/m/P30335
http://rdaregistry.info/Elements/m/P30002","has carrier type
font size
has category of manifestation
has media type",IRI,,follow mapping for BOOKS 008/23 - CP 2024-09-26,,"From RDA to MARC mapping: rdam:P30001 rdakit:hasM21 ""MARC 21 Bibliographic 006 /06 [identifier] (books, computer files, music, continuing resources, mixed materials)"" ."
5,done,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,BOOKS,06,Form of item,,,*,,006 00,t,,,"http://rdaregistry.info/Elements/m/P30001
http://rdaregistry.info/Elements/m/P30199
http://rdaregistry.info/Elements/m/P30335
http://rdaregistry.info/Elements/m/P30002","has carrier type
font size
has category of manifestation
has media type",IRI,,follow mapping for BOOKS 008/23 - CP 2024-09-26,,"From RDA to MARC mapping: rdam:P30001 rdakit:hasM21 ""MARC 21 Bibliographic 006 /06 [identifier] (books, computer files, music, continuing resources, mixed materials)"" ."
6,done,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,BOOKS,11,Government publication,,,*,,006 00,a,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,"https://doi.org/10.6069/uwlswd.2eg3-1x53# + code value
follow mapping for BOOKS 008/28 - CP 2024-09-26",,compare with 008/28
7,done,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,BOOKS,11,Government publication,,,*,,006 00,t,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,"https://doi.org/10.6069/uwlswd.2eg3-1x53# + code value
follow mapping for BOOKS 008/28 - CP 2024-09-26",,compare with 008/28
8,done,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,BOOKS,14,Index,,,1,,006 00,a,,,http://rdaregistry.info/Elements/m/P30455,has supplementary content,IRI,,"https://doi.org/10.6069/uwlswd.m0xp-h565#1
follow mapping for BOOKS 008/31 - CP 2024-09-26",,compare with 008/31
9,done,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,BOOKS,14,Index,,,1,,006 00,t,,,http://rdaregistry.info/Elements/m/P30455,has supplementary content,IRI,,"https://doi.org/10.6069/uwlswd.m0xp-h565#1
follow mapping for BOOKS 008/31 - CP 2024-09-26",,compare with 008/31
10,done,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,COMPUTER FILES/ELECTRONIC RESOURCES,00,Form of material,,,m,Computer file/Electronic resource,,,,,http://rdaregistry.info/Elements/m/P30335,has category of manifestation,IRI,,https://doi.org/10.6069/uwlswd.25z4-e963#m  - CP 2024-09-26,,see also 008/18-34
