,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,https://vdo.ninja/?room=SWIB24talks&broadcast&l&sl&ssid&tips&ssq&s,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,0,,Undefined,*,,,,"a, u, b, x",,,,not($3),,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described by,unstructured description,"description, but unable to tell if abstract, index, summary, etc.","""Indexed by: "" + [values of subfields, retain ISBD punctuation and existing order, remove subfield encoding]",,
1,done,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,0,,Undefined,*,,,,"a, u, b, x, 3",,,,$3,Materials specified,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described by,unstructured description,"description, but unable to tell if abstract, index, summary, etc.","""[Value of $3] indexed by: "" + [values of subfields, retain ISBD punctuation and existing order, remove subfield encoding]",,
2,done,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,1,,Undefined,*,,,,"a, u, b, x",,,,not($3),,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described by,unstructured description,"description, but unable to tell if abstract, index, summary, etc.","""Indexed in its entirety by: "" + [values of subfields, retain ISBD punctuation and existing order, remove subfield encoding]",,
3,done,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,1,,Undefined,*,,,,"a, u, b, x, 3",,,,$3,Materials specified,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described by,unstructured description,"description, but unable to tell if abstract, index, summary, etc.","""[Value of $3] indexed in its entirety by: "" + [values of subfields, retain ISBD punctuation and existing order, remove subfield encoding]",,
4,done,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,2,,Undefined,*,,,,"a, u, b, x",,,,not($3),,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described by,unstructured description,"description, but unable to tell if abstract, index, summary, etc.","""Indexed selectively by: "" + [values of subfields, retain ISBD punctuation and existing order, remove subfield encoding]",,
5,done,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,2,,Undefined,*,,,,"a, u, b, x, 3",,,,$3,Materials specified,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described by,unstructured description,"description, but unable to tell if abstract, index, summary, etc.","""[Value of $3] indexed selectively by: "" + [values of subfields, retain ISBD punctuation and existing order, remove subfield encoding]",,
6,done,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,3,,Undefined,*,,,,"a, u, b, x",,,,not($3),,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described by,unstructured description,"description, but unable to tell if abstract, index, summary, etc.","""References: "" + [values of subfields, retain ISBD punctuation and existing order, remove subfield encoding]",,
7,done,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,3,,Undefined,*,,,,"a, u, b, x, 3",,,,$3,Materials specified,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described by,unstructured description,"description, but unable to tell if abstract, index, summary, etc.","""[Value of $3] References: "" + [values of subfields, retain ISBD punctuation and existing order, remove subfield encoding]",,
8,done,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,4,,Undefined,*,,,,"a, b, c, u, x",,,,not($3),,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described by,unstructured description,"description, but unable to tell if abstract, index, summary, etc.","""References: "" + [values of subfields, retain ISBD punctuation and existing order, remove subfield encoding]",,"$u's placement depends. If access to an electronic bibliography cited, subfield $u follows subfield $a (Name of source); if access to the citation within an electronic bibliography, $u follows subfield $c (Location within source). -SH 2024-11-26"
9,done,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,4,,Undefined,*,,,,"a, b, c, u, x, 3",,,,$3,Materials specified,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described by,unstructured description,"description, but unable to tell if abstract, index, summary, etc.","""[Value of $3] References: "" + [values of subfields, retain ISBD punctuation and existing order, remove subfield encoding]",,"$u's placement depends. If access to an electronic bibliography cited, subfield $u follows subfield $a (Name of source); if access to the citation within an electronic bibliography, $u follows subfield $c (Location within source). -SH 2024-11-26"
10,done,510,CITATION/REFERENCES NOTE (R),Coverage/location in source,*,Coverage unknown,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
