,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,0,Alternative entry (BK AM CF MP MU) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,not ($5),,The record is not describing an aggregate manifestation,check aggregate markers ,,,http://rdaregistry.info/Elements/m/P30128,has variant title of manifestation,unstructured,Treating 740 with ind2 = 0 / Alternative entry (obsolete indicator but still appearing in many older records) as variant title for manifestation.  LA 12/29/2024,"""a + n + p"" retain punctuation.",,
1,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,0,Alternative entry (BK AM CF MP MU) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,5,Institution to which field applies,,,,,http://rdaregistry.info/Elements/i/P40086,has variant title of item,unstructured,See $5 instructions; apply property to the item minted from this process.  LA 12/29/2024,"""a + n + p"" retain punctuation.",,Decision: https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iij-5
2,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,1,Secondary entry (BK AM CF MP MU) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,"Format from Leader is Books, Archival Material, Computer Files, Maps, Music",,not ($5),,The record is not describing an aggregate manifestation,check aggregate markers ,https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,unstructured,"Based on review of results for wwu Alma sandbox/orbis cascade alliance, 740 with ind2 = 1  (obsolete indicator but still appearing in many older records) was applied to a mixture of variant titles, portions of titles, and analytical titles (from 505), thus no more pecific property can be used.  LA 12/29/2024","value of  ""a + n + p"" 
",,
3,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,1,Secondary entry (BK AM CF MP MU) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,"Format from Leader is Books, Archival Material, Computer Files, Maps, Music",,5,Institution to which field applies,,,http://rdaregistry.info/Elements/i/P40069,has related work of item,unstructured,See $5 instructions; apply property to the item minted from this process.  LA 12/29/2024,"""a + n + p"" retain punctuation.",,
4,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,1,Printed on card (VM) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,Format from Leader is Visual Materials,,not ($5),,The record is not describing an aggregate manifestation,check aggregate markers ,http://rdaregistry.info/Elements/m/P30128,has variant title of manifestation,unstructured,Treating 740 with ind2 = 1 for Visual Materials format / Printed on card (obsolete indicator but still appearing in many older records) as variant title of manifestation.  LA 12/29/2024,"""a + n + p"" retain punctuation.",,
5,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,1,Printed on card (VM) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,Format from Leader is Visual Materials,,5,Institution to which field applies,,,http://rdaregistry.info/Elements/i/P40086,has variant title of item,unstructured,See $5 instructions; apply property to the item minted from this process.  LA 12/29/2024,"""a + n + p"" retain punctuation.",,
6,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,3,Not printed on card (VM) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,not ($5),,The record is not describing an aggregate manifestation,check aggregate markers ,,,https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,unstructured,"Have not been able to find a definition of obsolete ind. 3 or any examples (not printed on card for visual materials - is it a variant title or some other kind?). So, least specific mapping. .  LA 12/29/2024","value of  ""a + n + p"" 
",,
7,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,3,Not printed on card (VM) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,5,Institution to which field applies,,,,,http://rdaregistry.info/Elements/i/P40069,has related work of item,unstructured,See $5 instructions; apply property to the item minted from this process.  LA 12/29/2024,"""a + n + p"" retain punctuation.",,
8,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,#,No information provided,,,"a, n, p",Uncontrolled related/analytical title (NR),,,not ($5),,The record is not describing an aggregate manifestation,check aggregate markers ,,,https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,unstructured,"When indicator 2 is (blank), there is no indication in this tag of the relationship between the title and an RDA entity; it's unlikely to be a variant title, since this indicator was defined after 246 was defined for that purpose, but we don't know enough to apply a more specific property.  .LA 12/29/2024","value of  ""a + n + p"" 
",,
9,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,#,No information provided,,,"a, n, p",Uncontrolled related/analytical title (NR),,,5,Institution to which field applies,,,,,http://rdaregistry.info/Elements/i/P40069,has related work of item,unstructured,See $5 instructions; apply property to the item minted from this process.  LA 12/29/2024,"""a + n + p"" retain punctuation.",,
