,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,830,SERIES ADDED ENTRY--UNIFORM TITLE (R),Undefined,*,,Nonfiling characters,*,,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,Identified and approved source in $2,,https://www.rdaregistry.info/Elements/w/object/#P10102,is issue of,IRI,"We know that a series heading in a 440 or 800-830 field must be for a Work to Work relationship, but we (again) cannot tell whether is for an aggregating work or a multi-part work.","<WorkIRI> is issue of <$1>
<$1> rdawd:P10002 ""stringified $0"" .// has identifier for work
<$1> has AAP for Associated Work ""value of a, d, f, g, k, l, m, n, o, p, r, s, t""",even if we think the heading is actually for a multi-part work and so should be transformed as a <WorkIRI> has part work <WorkIRI> instead,"<WorkIRI> is issue of <$1|$0>
<$1|$0> has AAP for Series WorkIRI ""value of a, d, f, g, k, l, m, n, o, p, r, s, t"""
1,done,830,SERIES ADDED ENTRY--UNIFORM TITLE (R),Undefined,*,,Nonfiling characters,*,,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,Identified and unapproved source in $2,,https://www.rdaregistry.info/Elements/w/object/#P10102,is issue of,IRI,"We know that a series heading in a 440 or 800-830 field must be for a Work to Work relationship, but we (again) cannot tell whether is for an aggregating work or a multi-part work.","<WorkIRI> is issue of <Associated WorkIRI>
<Associated WorkIRI> rdawd:P10002 ""stringified $0"" .// has identifier for work
<Associated WorkIRI> rdawd:P10002 ""stringified $1"" .// has identifier for work
<Associated WorkIRI> has AP for Associated Work <NomenIRI>
<NomenIRI> has nomen string ""value of a, d, f, g, k, l, m, n, o, p, r, s, t""  in order of appearance
<NomenIRI> has scheme of nomen <transform>",even if we think the heading is actually for a multi-part work and so should be transformed as a <WorkIRI> has part work <WorkIRI> instead,
2,done,830,SERIES ADDED ENTRY--UNIFORM TITLE (R),Undefined,*,,Nonfiling characters,*,,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,No source in $2 with approved $1,,https://www.rdaregistry.info/Elements/w/object/#P10102,is issue of,IRI,"We know that a series heading in a 440 or 800-830 field must be for a Work to Work relationship, but we (again) cannot tell whether is for an aggregating work or a multi-part work.","<WorkIRI> is issue of   <$1>
<$1> rdawd:P10002 ""stringified $0"" .// has identifier for work
<$1> has AAP for Associated Work ""value of a, d, f, g, k, l, m, n, o, p, r, s, t""",even if we think the heading is actually for a multi-part work and so should be transformed as a <WorkIRI> has part work <WorkIRI> instead,
3,done,830,SERIES ADDED ENTRY--UNIFORM TITLE (R),Undefined,*,,Nonfiling characters,*,,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,No source in $2 with unapproved $1,,https://www.rdaregistry.info/Elements/w/object/#P10102,is issue of,IRI,"We know that a series heading in a 440 or 800-830 field must be for a Work to Work relationship, but we (again) cannot tell whether is for an aggregating work or a multi-part work.","<WorkIRI> is issue of<Associated WorkIRI>
<Associated WorkIRI> rdawd:P10002 ""stringified $0"" .// has identifier for work
<Associated WorkIRI> rdawd:P10002 ""stringified $1"" .// has identifier for work
<Associated WorkIRI> has AP for Associated Work ""value of a, d, f, g, k, l, m, n, o, p, r, s, t""",even if we think the heading is actually for a multi-part work and so should be transformed as a <WorkIRI> has part work <WorkIRI> instead,
4,done,830,SERIES ADDED ENTRY--UNIFORM TITLE (R),Undefined,*,,Nonfiling characters,*,,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,no $2,$1|$0 from id.loc.gov,https://www.rdaregistry.info/Elements/w/object/#P10102,is issue of,IRI, ,"<WorkIRI> is issue of <$1|$0>
<$1|$0> has AAP for Series WorkIRI ""value of a, d, f, g, k, l, m, n, o, p, r, s, t""", ,
5,done,830,SERIES ADDED ENTRY--UNIFORM TITLE (R),Undefined,*,,Nonfiling characters,*,,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,no $2,$1|$0 not from id.loc.gov,https://www.rdaregistry.info/Elements/w/object/#P10102,is issue of,IRI,"We know that a series heading in a 440 or 800-830 field must be for a Work to Work relationship, but we (again) cannot tell whether is for an aggregating work or a multi-part work.","<WorkIRI> is issue of <$1|$0>
<$1|$0> has AP for Series WorkIRI ""value of a, d, f, g, k, l, m, n, o, p, r, s, t""",even if we think the heading is actually for a multi-part work and so should be transformed as a <WorkIRI> has part work <WorkIRI> instead,
6,done,830,SERIES ADDED ENTRY--UNIFORM TITLE (R),Undefined,*,,Nonfiling characters,*,,,,"a, d, f, g, k, l, m, n, o, p, r, s, t", ,,,The record is not describing an aggregate manifestation,check aggregate markers ,no $1 or $0 that can be converted into a rwo uri,Identified and approved source in $2,https://www.rdaregistry.info/Elements/w/object/#P10102,is issue of,IRI,,"<WorkIRI> is issue of <Series WorkIRI>
<Series WorkIRI> has AAP for Series WorkIRI <NomenIRI>
<NomenIRI> has nomen string ""value of a, d, f, g, k, l, m, n, o, p, r, s, t"" in order of appearance
<NomenIRI> has scheme of nomen <IRI for $2>",,
7,done,830,SERIES ADDED ENTRY--UNIFORM TITLE (R),Undefined,*,,Nonfiling characters,*,,,,"a, d, f, g, k, l, m, n, o, p, r, s, t", ,,,The record is not describing an aggregate manifestation,check aggregate markers ,no $1 or $0 that can be converted into a rwo uri,Identified and unapproved source in $2,https://www.rdaregistry.info/Elements/w/object/#P10102,is issue of,IRI,,"<WorkIRI> is issue of <Series WorkIRI>
<Series WorkIRI> has AP for Series WorkIRI <NomenIRI>
<NomenIRI> has nomen string ""value of a, d, f, g, k, l, m, n, o, p, r, s, t"" in order of appearance
<NomenIRI> has scheme of nomen <transform>",,
8,done,830,SERIES ADDED ENTRY--UNIFORM TITLE (R),Undefined,*,,Nonfiling characters,*,,,,"a, d, f, g, k, l, m, n, o, p, r, s, t", ,,,The record is not describing an aggregate manifestation,check aggregate markers ,no $1 or $0 that can be converted into a rwo uri,no $2 and  040 $b = eng,https://www.rdaregistry.info/Elements/w/object/#P10102,is issue of,IRI,,"<WorkIRI> is issue of <Series WorkIRI>
<Series WorkIRI> has AAP for Series WorkIRI <NomenIRI>
<NomenIRI> has nomen string ""value of a, d, f, g, k, l, m, n, o, p, r, s, t"" in order of appearance
<NomenIRI> has scheme of nomen <http://id.loc.gov/authorities/names >",,
9,done,830,SERIES ADDED ENTRY--UNIFORM TITLE (R),Undefined,*,,Nonfiling characters,*,,,,"a, d, f, g, k, l, m, n, o, p, r, s, t", ,,,The record is not describing an aggregate manifestation,check aggregate markers ,no $1 or $0 that can be converted into a rwo uri,no $2,https://www.rdaregistry.info/Elements/w/object/#P10102,is issue of,IRI,,"<WorkIRI> is issue of <Series WorkIRI>
<Series WorkIRI> has AP for Series WorkIRI ""value of a, d, f, g, k, l, m, n, o, p, r, s, t""",,
