,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CategoryOfMaterial,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTag Condition3,Condition3 Values,MARCTag  Condition4,Condition4 Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized),Unnamed: 31,Unnamed: 32
0,done,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,06,Type of date/Publication status,Reproduction: Take value out of 008 and apply it to the reproduction if it needs to have that category,,c,Continuing resource currently published,Check for Reproduction Conditions 1 and 2,,,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-11

value = ""Continuing resource currently published.""",,,,coded - CP 2024-09-19
1,done,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,06,Type of date/Publication status,,,d,Continuing resource ceased publication,Check for Reproduction Conditions 1 and 2,,,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-12

value = ""Continuing resource ceased publication.""",,,,coded - CP 2024-09-19
2,done,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,p,008/07-10,*,Check for Reproduction Conditions 1 and 2,,,,http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,"If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-12

date/.. | u=blank | partial blank = fill in blanks as X",,,,coded - CP 2024-11-03
3,done,,,,,,,,,,07-10,Date 1,,,,,008 06,p,008/07-10,blank/uuuu,Check for Reproduction Conditions 1 and 2,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-12

value = ""Date of manifestation unknown.""",,,,coded - CP 2024-11-03
4,done,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,r,008/07-10,*,,,,,http://rdaregistry.info/Elements/m/P30011,has date of publication,structured,,"date1 | u=blank | partial blank = fill in blanks as X 
- CP 2024-11-03",,,,coded - CP 2024-11-03
5,done,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,r,008/07-10,blank/uuuu,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"value = ""Date of publication unknown.""",,,,coded - CP 2024-11-03
6,done,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,s,008/07-10,*,Check for Reproduction Conditions 1 and 2,,,,http://rdaregistry.info/Elements/m/P30011,has date of publication,structured,,"If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-12

date1 |  u=blank | partial blank = fill in blanks as X 
- CP 2024-11-03",,,,coded - CP 2024-11-03
7,done,,,,,,,,,,07-10,Date 1,,,,,008 06,s,008/07-10,blank/uuuu,Check for Reproduction Conditions 1 and 2,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-12

value = ""Date of publication unknown.""",,,,coded - CP 2024-11-03
8,done,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,t,008/07-10,*,Check for Reproduction Conditions 1 and 2,,,,http://rdaregistry.info/Elements/m/P30011,has date of publication,structured,,"If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-12

date1 |  u=blank | partial blank = fill in blanks as X 
- CP 2024-11-03",,,,coded - CP 2024-11-03
9,done,,,,,,,,,,07-10,Date 1,,,,,008 06,t,008/07-10,blank/uuuu,Check for Reproduction Conditions 1 and 2,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"If a reproduction condition is present, apply mapping and transformation to OriginalM, not ReproM. - LA, DC 2024-09-12

value = ""Date of publication unknown.""",,,,coded - CP 2024-11-03
