,f,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,41,LANGUAGE CODE (R),Translation indication,#|0,No information provided|Item not a translation/does not include a translation,Source of code,#|7,MARC language code or indicator 2 = 7 and subfield $2 is an ISO source,,,a,Language code of text/sound track or separate title (R),,, , ,,,http://rdaregistry.info/Elements/e/P20006,"has language of expression
has note on expression","IRI
unstructured description",,"[Expression] rdae:P20006 [http://id.loc.gov/vocabulary/languages/[code in $a]]
If indicator 2 = 7 and subfield $2 is an ISO source, we can mint the LoC IRI. 
[Expression] rdaed:P20071 ""Language code of text/sound track or separate title: {$a}, source of code: (if indicator 2 = #) https://www.loc.gov/marc/languages/ or (if indicator 2 = 7) the source code in $2""
PS 7/9/2024", ,
1,done,41,LANGUAGE CODE (R),Translation indication,#|0,No information provided|Item not a translation/does not include a translation,Source of code,7,Subfield $2 is not an ISO source,,,a,Language code of text/sound track or separate title (R),,, ,,,,http://rdaregistry.info/Elements/e/P20006,"has language of expression
has note on expression","IRI
unstructured description",,"[Expression] rdae:P20006 <skos:Concept>
<skos:Concept> skos:prefLabel <$a>
<skos:Concept> skos:notation <$a>^^datatypeIRI
<skos:Concept> skos:inScheme <$2>
[Expression] rdaed:P20071 ""Language code of text/sound track or separate title: {$a}, source of code: (if indicator 2 = #) https://www.loc.gov/marc/languages/ or (if indicator 2 = 7) the source code in $2""

Repeat if $a repeats and append to note on expression with the value ""The codes for the languages of the text are recorded in the order of their predominance in the text, if not in English alphabetical order. "" PS 7/9/2024",,
2,done,41,LANGUAGE CODE (R),Translation indication,1,Item is or includes a translation,Source of code,#|7,MARC language code or indicator 2 = 7 and subfield $2 is an ISO source,,,a,Language code of text/sound track or separate title (R),,, ,,,,http://rdaregistry.info/Elements/e/P20006,"has language of expression
has note on expression","IRI
unstructured descriptions",,"[Expression] rdae:P20006 [http://id.loc.gov/vocabulary/languages/[code in $a]]
If indicator 2 = 7 and subfield $2 is an ISO source, we can similarly mint the LoC IRI. 

[Expression] rdaed:P20331 has category of expression [translation or includes a translation]
[Expression] rdaed:P20071 ""Language code of text/sound track or separate title: {$a}, source of code: (if indicator 2 = #) https://www.loc.gov/marc/languages/ or (if indicator 2 = 7) the source code in $2""

[Expression] rdaed:P20071 ""Language of the original work: http://id.loc.gov/vocabulary/languages/[code in $h]""
PS 7/9/2024", ,
3,done,41,LANGUAGE CODE (R),Translation indication,1,Item is or includes a translation,Source of code,7,Subfield $2 is not an ISO source,,,a,Language code of text/sound track or separate title (R),,, ,,,,http://rdaregistry.info/Elements/e/P20006,"has language of expression
has note on expression","IRI
unstructured descriptions",,"[Expression] rdae:P20006 <skos:Concept>
<skos:Concept> skos:prefLabel <$a>
<skos:Concept> skos:notation <$a>^^datatypeIRI
<skos:Concept> skos:inScheme <$2>
[Expression] rdaed:P20071 ""Language code of text/sound track or separate title: {$a}""
[Expression] rdaed:P20331 has category of expression ""translation or includes a translation""
[Expression] rdaed:P20071 ""language of the original work: http://id.loc.gov/vocabulary/languages/[code in $h]""
PS 7/9/2024

Repeat if $a repeats and append to note on expression ""The codes for the languages of the text are recorded in the order of their predominance in the text, if not in English alphabetical order. "" PS 7/9/2024", ,
4,done,41,LANGUAGE CODE (R),Translation indication,*,,Source of code,*,,,,b,Language code of summary or abstract (R),,,, ,,,https://www.rdaregistry.info/Elements/m/datatype/#P30137,has note on manifestation,unstructured descriptions,,"[Manifestation] rdamd:P30137 ""Language code of summary or abstract: {$b}. source of code: (if indicator 2 = #) https://www.loc.gov/marc/languages/ or (if indicator 2 = 7) the source code in $2""
PS 7/9/2024",It is part of the expression which cannot be mapped directly to the expression being described.,I don't think it is possible to determine which expression this data is associated with. In most cases the subfield definition indicates separate expressions embodied in an aggregate but in some cases the language is associated with a component of the expression (for example the words to a song printed above the notated music - RDA has not yet fully modelled this). I think the safest approach is transform the data as note on manifestation. The note would have to mention 'language encodings' unless we want to look-up the full form on the fly (not recommended).--Gordon 7/15/2024
5,done,41,LANGUAGE CODE (R),Translation indication,*,,Source of code,*, ,,,c,Languages of separate titles (VM) [OBSOLETE],,,,,,,https://www.rdaregistry.info/Elements/m/datatype/#P30137,has note on manifestation,unstructured descriptions,,"[Manifestation] rdamd:P30137 ""Languages of separate titles or languages of available translation:  + [value of $c] source of code: (if indicator 2 = #) https://www.loc.gov/marc/languages/ or (if indicator 2 = 7) the source code in $2""
PS 7/9/2024",How to deal with obsolete data -- ZP 3/16/2022,$c changed twice.
6,done,41,LANGUAGE CODE (R),Translation indication,*,,Source of code,#|7,MARC language code or indicator 2 = 7 and subfield $2 is an ISO source,,,d,Language code of sung or spoken text (R),,,Leader 06=j,j - Musical sound recording,,,http://rdaregistry.info/Elements/e/P20006,"has language of expression
has note on expression","IRI
unstructured descriptions",,"[Expression] rdae:P20006 [http://id.loc.gov/vocabulary/languages/[code in $d]]
If indicator 2 = 7 and subfield $2 is an ISO source, we can similarly mint the LoC IRI.
[Expression] rdaed:P20071  ""Language code of sung or spoken text: {$d}""
PS 7/9/2024", ,
7,done,41,LANGUAGE CODE (R),Translation indication,*,,Source of code,7,Subfield $2 is not an ISO source,,,d,Language code of sung or spoken text (R),,,Leader 06=j,j - Musical sound recording,,,http://rdaregistry.info/Elements/e/P20006,"has language of expression
has note on expression","IRI
unstructured descriptions",,"[Expression] rdae:P20006 <skos:Concept>
<skos:Concept> skos:prefLabel <$d>
<skos:Concept> skos:notation <$d>^^datatypeIRI
<skos:Concept> skos:inScheme <$2>
[Expression] rdaed:P20071 ""Language code of sung or spoken text: {$d}""
PS 7/9/2024", ,
8,done,41,LANGUAGE CODE (R),Translation indication,*,,Source of code,*, ,,,d,Language code of sung or spoken text (R),,,,,,,https://www.rdaregistry.info/Elements/m/datatype/#P30137,has note on manifestation,unstructured descriptions,,"[Manifestation] rdamd:P30137 ""Language code of sung or spoken text: {$d}, source of code: (if indicator 2 = #) https://www.loc.gov/marc/languages/ or (if indicator 2 = 7) the source code in $2""""
PS 7/9/2024",The audible portion of an item does not represent the primary content,
9,done,41,LANGUAGE CODE (R),Translation indication,*,,Source of code,*, ,,,e,Language code of librettos (R),,,, ,,,https://www.rdaregistry.info/Elements/m/datatype/#P30137,has note on manifestation,unstructured descriptions,,"[Manifestation] rdamd:P30137 ""Language code of librettos: {$e}, source of code: (if indicator 2 = #) https://www.loc.gov/marc/languages/ or (if indicator 2 = 7) the source code in $2""
PS 7/9/2024v",It may be or may not be accompanying material.,
