,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,MARCTagCondition4,MARCTagCondition5,MARCTagCondition6,Unnamed: 23,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,711,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,approved $1,$2,,,,RDA URI in table,RDA element in table,IRI,,"<entity> RDA property <$1> 
<$1> rdaad:P50237 ""meeting"" .// category of corporate body
<$1> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u)” . // has authorized access point for corporate body .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iic1-0s-and-1s-for-rda-entities
1,done,711,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,approved $1,no $2,,,,RDA URI in table,RDA element in table,IRI,,"<entity> RDA property <$1> . // has subject corporate body
<$1> rdaad:P50237 ""meeting"" .// category of corporate body
<$1> rdaao:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
2,done,711,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,$2,no $5,,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,,,"<manifestation> rdamo:P30270 <$1> .// related corporate body of manifestation
<$1> rdaad:P50237 ""meeting"" .// category of corporate body
<$1> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,
3,done,711,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,no $2,no $5,,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,,,"<manifestation> rdawo:P10314 <$1> . // related corporate body of manifestation
<$1> rdaad:P50237 ""meeting"" .// category of corporate body
<$1> rdaao:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
4,done,711,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,$2,5,,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<itemIRI> related corporate body of item <$1> 
<$1> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has authorized access point for corporate body
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,
5,done,711,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,no $2,5,,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<itemIRI> related corporate body of item <$1>
<$1> rdaad:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
6,done,711,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0,,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,$0 type is right and no $1,$2,,,,RDA URI in table,RDA element in table,IRI,,"<entity> RDA property <$0> 
<$0> rdaad:P50237 ""meeting"" .// category of corporate body
<$0> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u)” . // has authorized access point for corporate body .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,
7,done,711,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0,,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,$0 type is right and no $1,no $2,,,,RDA URI in table,RDA element in table,IRI,,"<entity> RDA property <$0> . // has subject corporate body
<$0> rdaad:P50237 ""meeting"" .// category of corporate body
<$0> rdaao:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
8,done,711,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$0 type is right and no $1,$2,no $5,,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,,,"<manifestation> rdamo:P30270 <$0> .// related corporate body of manifestation
<$0> rdaad:P50237 ""meeting"" .// category of corporate body
<$0> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,
9,done,711,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$0 type is right and no $1,no $2,no $5,,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,,,"<manifestation> rdawo:P10314 <$0> . // related corporate body of manifestation
<$0> rdaad:P50237 ""meeting"" .// category of corporate body
<$0> rdaao:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
