,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,reviewed,730,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,#,No information provided,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,Identified and approved source in $2,,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI,"Since transformation coding cannot tell whether a heading in an Associated added entry field is for a work vs an expression, or an aggregating work, a multi-part work, or a single-part work, we must use ‘has related work of manifestation’ as our default relationship between a described WEMI and an associated WEMI. We do this even if we have a Relator value that maps to an RDA URI.","<ManifestationIRI> has related work of manifestation <$1>
<$1> rdawd:P10002 ""stringified $0"" .// has identifier for work
<$1> has AAP for Associated Work ""value of a, d, f, g, k, l, m, n, o, p, r, s, t""",,"See Headings Mapping Table. --CEY, 2025-08-13"
1,reviewed,730,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,#,No information provided,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,Identified and unapproved source in $2,,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI, ,"<ManifestationIRI> has related work of manifestation <Associated WorkIRI>
<Associated WorkIRI> rdawd:P10002 ""stringified $0"" .// has identifier for work
<Associated WorkIRI> rdawd:P10002 ""stringified $1"" .// has identifier for work
<Associated WorkIRI> has AP for Associated Work <NomenIRI>
<NomenIRI> has nomen string ""value of a, d, f, g, k, l, m, n, o, p, r, s, t"" in order of appearance
<NomenIRI> has scheme of nomen <transform>",,"See Headings Mapping Table. --CEY, 2025-08-13"
2,reviewed,730,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,#,No information provided,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,No source in $2 with approved $1,,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI, ,"<ManifestationIRI> has related work of manifestation  <$1>
<$1> rdawd:P10002 ""stringified $0"" .// has identifier for work
<$1> has AAP for Associated Work ""value of a, d, f, g, k, l, m, n, o, p, r, s, t""",,"See Headings Mapping Table. --CEY, 2025-08-13"
3,reviewed,730,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,#,No information provided,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,No source in $2 with unapproved $1,,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI, ,"<ManifestationIRI> has related work of manifestation  <Associated WorkIRI>
<Associated WorkIRI> rdawd:P10002 ""stringified $0"" .// has identifier for work
<Associated WorkIRI> rdawd:P10002 ""stringified $1"" .// has identifier for work
<Associated WorkIRI> has AP for Associated Work ""value of a, d, f, g, k, l, m, n, o, p, r, s, t""",,"See Headings Mapping Table. --CEY, 2025-08-13"
4,reviewed,730,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,#,No information provided,,,"a, d, f, g, h, k, l, m, n, o, p, r, s, t, x",,,,The record is not describing an aggregate manifestation,check aggregate markers ,no $1 or $0 that can be converted into a rwo uri,,Identified and approved source in $2, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI, ," <ManifestationIRI> has related work of manifestation <Associated WorkIRI>
<Associated WorkIRI> has AAP for Associated Work <NomenIRI>
<NomenIRI> has nomen string ""value of a, d, f, g, k, l, m, n, o, p, r, s, t"" in order of appearance
<NomenIRI> has scheme of nomen <IRI for $2>",,"See Headings Mapping Table. --CEY, 2025-08-13"
5,reviewed,730,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,#,No information provided,,,"a, d, f, g, h, k, l, m, n, o, p, r, s, t, x",,,,The record is not describing an aggregate manifestation,check aggregate markers ,no $1 or $0 that can be converted into a rwo uri,,Identified and unapproved source in $2, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI, ," <ManifestationIRI> has related work of manifestation <Associated WorkIRI>
<Associated WorkIRI> has AP for Associated Work <NomenIRI>
<NomenIRI> has nomen string ""value of a, d, f, g, k, l, m, n, o, p, r, s, t"" in order of appearance
<NomenIRI> has scheme of nomen <IRI for $2>",,"See Headings Mapping Table. --CEY, 2025-08-13"
6,reviewed,730,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,#,No information provided,,,"a, d, f, g, h, k, l, m, n, o, p, r, s, t, x",,,,The record is not describing an aggregate manifestation,check aggregate markers ,no $1 or $0 that can be converted into a rwo uri,,no $2, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI, ,"<ManifestationIRI> has related work of manifestation <Associated WorkIRI>
<Associated WorkIRI> has AP for Associated Work ""value of a, d, f, g, k, l, m, n, o, p, r, s, t""",,"See Headings Mapping Table. --CEY, 2025-08-13"
7,reviewed,730,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,No information provided,,,6,,,,,,,,,,,,,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,,
8,phase II,730,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,2,Analytical entry,,,1,,,,,,,,,,,,,,,
9,phase II,730,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,2,Analytical entry,,,"a, d, f, g, h, k, l, m, n, o, p, r, s, t, x",,,,,,,,,,,,,,,
