,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,not mapped,852,LOCATION (R),Shelving scheme,#,No information provided,Shelving order,#,No information provided,,,a,Location (NR),,,,,,,,,,,,,
1,not mapped,852,LOCATION (R),Shelving scheme,#,No information provided,Shelving order,0,Not enumeration,,,a,Location (NR),,,,,,,,,,,,,
2,not mapped,852,LOCATION (R),Shelving scheme,#,No information provided,Shelving order,1,Primary enumeration,,,a,Location (NR),,,,,,,,,,,,,
3,not mapped,852,LOCATION (R),Shelving scheme,#,No information provided,Shelving order,2,Alternative enumeration,,,a,Location (NR),,,,,,,,,,,,,
4,not mapped,852,LOCATION (R),Shelving scheme,0,Library of Congress classification,Shelving order,#,No information provided,,,a,Location (NR),,,,,,,,,,,,,
5,not mapped,852,LOCATION (R),Shelving scheme,0,Library of Congress classification,Shelving order,0,Not enumeration,,,a,Location (NR),,,,,,,,,,,,,
6,not mapped,852,LOCATION (R),Shelving scheme,0,Library of Congress classification,Shelving order,1,Primary enumeration,,,a,Location (NR),,,,,,,,,,,,,
7,not mapped,852,LOCATION (R),Shelving scheme,0,Library of Congress classification,Shelving order,2,Alternative enumeration,,,a,Location (NR),,,,,,,,,,,,,
8,not mapped,852,LOCATION (R),Shelving scheme,1,Dewey Decimal classification,Shelving order,#,No information provided,,,a,Location (NR),,,,,,,,,,,,,
9,not mapped,852,LOCATION (R),Shelving scheme,1,Dewey Decimal classification,Shelving order,0,Not enumeration,,,a,Location (NR),,,,,,,,,,,,,
10,not mapped,852,LOCATION (R),Shelving scheme,1,Dewey Decimal classification,Shelving order,1,Primary enumeration,,,a,Location (NR),,,,,,,,,,,,,
